ID,link,text,user,likes,comments,retweets,external-link,quotes
409,https://twitter.com/cb_doge/status/1748397593107878173#m,Comedy is legal on this platform!,DogeDesigner,14043,2014,1601,,148
410,https://twitter.com/elonmusk/status/1748360814115926274#m,😂,Elon Musk,315491,10684,17495,,585
411,https://twitter.com/Starlink/status/1748014780936540423#m,Starlink can provide connectivity to the most remote and rural communities around the world.  The Itaquera community in the heart of the Brazilian Amazon now has access to online educational and medical resources previously not available 🛰️🌎❤️ → stories.starlink.com,Starlink,16540,1593,2385,,194
412,https://twitter.com/SpaceX/status/1748068088506143109#m,Watch Falcon 9 launch Dragon and Ax-3 to the @space_station https://nitter.no-logs.com/i/broadcasts/1lDxLPOAZYqxm,SpaceX,16773,1328,3829,,539
413,https://twitter.com/SpaceX/status/1748069498094244054#m,"Meet Ax-3, the crew of Dragon’s 12th human spaceflight mission",SpaceX,68020,1836,6010,,729
414,https://twitter.com/elonmusk/status/1748094950779076683#m,https://nitter.no-logs.com/i/broadcasts/1YqxoDBRoEkKv?t=42m16s,Elon Musk,33198,2999,5114,,283
415,https://twitter.com/elonmusk/status/1748094375869993228#m,,Elon Musk,156840,9985,15786,,1395
416,https://twitter.com/SpaceX/status/1748091418978218142#m,"SpaceX was founded to help create a future where not just hundreds but thousands and ultimately millions of people can travel off Earth, to live and work in space and on other planets.",SpaceX,41139,1572,4419,,393
417,https://twitter.com/elonmusk/status/1748042397404037246#m,,Elon Musk,394411,16201,31748,,2612
418,https://twitter.com/elonmusk/status/1748039011237535767#m,Some posts are real bangers,Elon Musk,94904,9542,7879,,1190
419,https://twitter.com/elonmusk/status/1748036927821942798#m,So hot rn,Elon Musk,995109,57393,97934,,25564
420,https://twitter.com/elonmusk/status/1748035742075359724#m,Better version,Elon Musk,238879,8100,52194,,2221
421,https://twitter.com/elonmusk/status/1747870851138019445#m,Grok roasts Klaus Schwab at WEF,Elon Musk,114432,7604,24365,,1711
422,https://twitter.com/elonmusk/status/1747865288429682866#m,Good explanation of what makes countries more or less prosperous,Elon Musk,335152,12936,71406,,5640
423,https://twitter.com/elonmusk/status/1747800112300999125#m,Progress!,Elon Musk,120695,7256,14123,,670
424,https://twitter.com/elonmusk/status/1747792804560994770#m,"Wow, I didn’t know Elizabeth Warren was at Davos",Elon Musk,216543,22310,28362,,4984
425,https://twitter.com/Rob_2628/status/1747778466676707645#m,The @Starlink auto-heating system doing great work even in deep winter here in Germany. We have a severe weather warning in my region today for a snowstorm & still posting this on Starlink while livestreaming no problem.,Rob2628,8065,439,962,,39
426,https://twitter.com/elonmusk/status/1747414816615256292#m,You may want to follow @HelpfulNotes,Elon Musk,21816,4138,3590,,157
427,https://twitter.com/elonmusk/status/1747352736167776634#m,SpaceX is focused on making Starlink great for gaming & streaming!,Elon Musk,77640,6172,10490,,474
428,https://twitter.com/SpaceX/status/1747290740265549957#m,"Falcon 9 and Dragon vertical at pad 39A in Florida. Targeting Wednesday, January 17 for launch of Ax-3 → spacex.com/launches",SpaceX,16757,1543,2500,,182
429,https://twitter.com/elonmusk/status/1747117040018591907#m,Significant improvements have been made to @Starlink latency (ping) & many more to come.  Target is <20ms.,Elon Musk,59252,5278,5237,,392
430,https://twitter.com/farzyness/status/1747053302548668916#m,Here's an edited version of the space by @Jason with @elonmusk @BillAckman and 2024 Democratic Presidential Candidate @deanbphillips.  This version reduces time by 30% and significantly boosts audio quality.  Link to original in replies. Thanks @DavidCarbutt_ for the work!,Farzad,7794,882,1376,,132
431,https://twitter.com/elonmusk/status/1747047100502999141#m,First MrBeast video posted directly on 𝕏!,Elon Musk,298112,8665,21505,,1019
432,https://twitter.com/elonmusk/status/1747024700771860882#m,X is literally just a letter from the alphabet lmao,Elon Musk,27905,3109,2346,,314
433,https://twitter.com/elonmusk/status/1747026333652107732#m,,Elon Musk,261073,10647,15990,,1219
434,https://twitter.com/Jason/status/1747021328815894703#m,Do listen to the replay,@jason,3307,367,578,,29
435,https://twitter.com/elonmusk/status/1747023719069782067#m,Interesting discussion about colleges,Elon Musk,20193,1538,3886,,91
436,https://twitter.com/teslaownersSV/status/1747022896613204228#m,Mainstream medias source is 𝕏. The truth hurts,Tesla Owners Silicon Valley,9943,588,1369,,82
437,https://twitter.com/elonmusk/status/1747022369493749967#m,𝕏 is the future,Elon Musk,70456,5287,10342,,519
438,https://twitter.com/Starlink/status/1746988143138496623#m,"Starlink is ideal for rural locations. Later this year, @JohnDeere will begin equipping new and existing machines across the United States and Brazil with Starlink to help connect farmers with high-speed internet so they can fully leverage precision agriculture technologies 🛰️🌎❤️",Starlink,15339,1160,2458,,324
439,https://twitter.com/elonmusk/status/1746974204551999950#m,Discussion with Democratic presidential candidate @deanbphillips in 2 hours,Elon Musk,15036,2029,2077,,88
440,https://twitter.com/elonmusk/status/1746970616060580326#m,"Important note: Optimus cannot yet do this autonomously, but certainly will be able to do this fully autonomously and in an arbitrary environment (won’t require a fixed table with box that has only one shirt)",Elon Musk,18440,1824,1364,,329
441,https://twitter.com/elonmusk/status/1746965376464732639#m,,Elon Musk,287562,9845,20888,,1179
442,https://twitter.com/elonmusk/status/1746964887949934958#m,Optimus folds a shirt,Elon Musk,275747,26003,36861,,11915
